Phụ lục II
DANH MỤC CÁC CƠ SỞ PHÁT THẢI KHÍ NHÀ KÍNH PHẢI THỰC HIỆN KIỂM KÊ KHÍ NHÀ KÍNH
NGÀNH CÔNG THƯƠNG
*(Kèm theo Quyết định số      /2024/QĐ-TTg ngày     tháng      năm 2024 của Thủ tướng Chính phủ)*
| STT | Tên cơ sở | Địa chỉ | Ngành nghề/Loại hình kinh doanh | Tiêu thụ năng lượng (TOE) |
| --- | --- | --- | --- | --- |
| I. TÂY BẮC BỘ |
| 95 | Công ty TNHH Jukwang precision Việt Nam | Lô CN8-1 KCN Điềm Thụy, xã Điềm Thụy, huyện Phú Bình | Sản xuất công nghiệp | 1.874 |
| 96 | Công ty Cổ phần đầu tư thương mại thép Đại Việt | Cụm công nghiệp số 3, cảng Đa Phúc, xã Thuận Thành, TX Phổ Yên | Sản xuất công nghiệp | 10.926 |
| 97 | Công ty TNHH RFTECH Thái Nguyên | KCN Điềm Thụy, huyện Phú Bình | Sản xuất công nghiệp, linh kiện điện tử | 2.294 |
| 98 | Công ty Ván ép Việt Bắc | phường Phú Xá, TP Thái Nguyên | Lâm nghiệp | 1.375 |
| 99 | Công ty than Núi Hồng | xã Yên Lãng, huyện Đại từ | Sản xuất công nghiệp, chế biến than | 1.537 |
| 100 | Công ty Cổ phần ALK Vina | Lô CN6-1,3; Khu Công nghiệp Điềm Thụy, xã Hồng Tiến, thị xã Phổ Yên | Sản xuất công nghiệp | 7.230 |
| 101 | Công ty TNHH Khvatec Hanoi | Lô CN3, CN3-1, Khu Công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình | Sản xuất công nghiệp | 3.856 |
| 102 | Công ty TNHH Dongsung vina | Lô CN 3-3(2), Khu Công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình | Sản xuất công nghiệp | 15.814 |
| 103 | Công ty TNHH Korea Electric Terminal Vietnam | Lô CN5, Khu Công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình | Sản xuất công nghiệp | 2.873 |
| 104 | Công ty TNHH Samju Vina | Lô CN3-3, Khu Công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình | Sản xuất công nghiệp | 2.344 |
| 105 | Công ty TNHH Shinsung C&T Vina | Lô CN1-1, Khu Công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình | Sản xuất công nghiệp | 2.368 |
| 106 | Công ty TNHH Uti Vina | Lô CN4, Khu Công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình | Sản xuất công nghiệp | 2.160 |
| 107 | Công ty TNHH Thép Tùng Chi | Khu B, Khu công nghiệp Sông Công I, phường Bách Quang, thành phố Sông Công, tỉnh Thái Nguyên | Sản xuất công nghiệp | 6.779 |
| 108 | Công ty Cổ phần Nhật Anh | Khu B, Khu công nghiệp Sông Công I, phường Bách Quang, thành phố Sông Công, tỉnh Thái Nguyên | Sản xuất công nghiệp | 3.443 |
| 109 | Công ty TNHH Nhựa Châu âu xanh | QL 3 xã thuận thành, thị xã Phổ Yên, tỉnh Thái Nguyên | Sản xuất công nghiệp | 1.790 |
| 110 | Công ty Cổ phần Elovi Việt Nam | Khu CN Nam Phổ Yên, thị xã Phổ Yên tỉnh Thái Nguyên | Sản xuất các sản phẩm từ sữa | 2.041 |
| 111 | Công ty TNHH YOUNG DIECASTING VINA | Khu Công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình | Sản xuất công nghiệp | 1.157 |
| 112 | Công ty TNHH Sunny Opotech Việt Nam | KCN Yên Bình, phường Đồng Tiến, thành phố Phổ Yên, tỉnh Thái Nguyên, Việt Nam | Sản xuất công nghiệp | 2.250 |
| 113 | Công ty TNHH phát triển năng lượng Trina Solar | Lô CN-14, khu công nghiệp Yên Bình, phường Hồng Tiến,TP Phổ Yên | Sản xuất công nghiệp | 30.220 |
