Phụ lục II
DANH MỤC CÁC CƠ SỞ PHÁT THẢI KHÍ NHÀ KÍNH PHẢI THỰC HIỆN KIỂM KÊ KHÍ NHÀ KÍNH
NGÀNH CÔNG THƯƠNG
*(Kèm theo Quyết định số      /2024/QĐ-TTg ngày     tháng      năm 2024 của Thủ tướng Chính phủ)*
| STT | Tên cơ sở | Địa chỉ | Ngành nghề/Loại hình kinh doanh | Tiêu thụ năng lượng (TOE) |
| --- | --- | --- | --- | --- |
| I. TÂY BẮC BỘ |
| 1762 | Công ty TNHH Suối Sao | Ấp Lộ Đức, xã Hố Nai 3, huyện Trảng Bom, tỉnh Đồng Nai | Công nghiệp sản xuất giấy | 1.309 |
| 1763 | Công ty TNHH MTV Sản xuất Thương mại Dịch vụ Phước Tân | Tổ 1, Ấp Tân Lập, xã Phước Tân, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa | 5.867 |
| 1764 | Công ty Changshin Việt Nam | KCN Thạnh Phú, ấp 1, xã Thạnh Phú , huyện Vĩnh Cửu, tỉnh Đồng Nai | Sản xuất giấy | 28.750 |
| 1765 | Công ty TNHH MTV nhà máy sản xuất cồn Tùng Lâm | Ấp 4, Xuân Hòa, huyện Xuân Lộc, tỉnh Đồng Nai | Sản xuất cồn | 2.392 |
| 1766 | Công ty Cổ phần Vedan Việt Nam | Quốc lộ 51 ấp La, xã Phước Thái, tỉnh Đồng Nai | Sản xuất hóa chất, phân bón | 9.067 |
| 1767 | Nhà máy hóa chất Biên Hòa | Đường 5, KCN Biên Hòa 1, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất hóa chất cơ bản | 15.382 |
| 1768 | Công ty TNHH Muto Việt Nam | Lô C7.1 KCN Long Bình (Loteco), thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất các sản phẩm từ kim loại | 2.172 |
| 1769 | Công ty TNHH Dynapack Packaging | Số 6, Đường 19A, KCN Biên Hòa 2, phường An Bình thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất sản phẩm từ nhựa | 2.257 |
| 1770 | Công ty Cổ phần Trung Đông - Chi nhánh An Phước | KCN An Phước, xã An Phước, huyện Long Thành, tỉnh Đồng Nai | Sản xuất bao bì nhựa | 2.320 |
| 1771 | Công ty TNHH Daerim Precision Vina | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất các sản phẩm từ cao su | 4.816 |
| 1772 | Công ty TNHH Framas Korea Vina | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất các sản phẩm từ cao su | 1.582 |
| 1773 | Công ty TNHH World Vina | Ấp Hiền Đức, xã Phước Thái, huyện Long Thành, tỉnh Đồng Nai | Sản xuất màng PE | 3.816 |
| 1774 | Công ty TNHH Seogwang Việt Nam | KCN An Phước, xã An Phước, huyện Long Thành, tỉnh Đồng Nai | Sản xuất các sản phẩm từ hạt nhựa | 3.883 |
| 1775 | Công ty TNHH Tenma Việt Nam | Số 10, đường 9a, KCN Biên Hòa 2, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất các sản phẩm từ cao su và nhựa | 1.516 |
| 1776 | Công ty TNHH Kureha Việt Nam | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất sản phẩm từ nhựa | 1.843 |
| 1777 | Công ty TNHH Inzi Vina | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất sản phẩm từ nhựa | 2.182 |
| 1778 | Công ty Cổ phần nhựa Đồng Nai | Đường 9, KCN Biên Hòa 1, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất ống nhựa, phụ kiện và các sản phẩm nhựa... | 3.205 |
| 1779 | Công ty TNHH Ansell Vina | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất các sản phẩm từ cao su | 13.248 |
| 1780 | Công ty Cổ phần nhựa Reliable | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất nhựa và cao su tổng hợp | 2.493 |
| 1781 | Chi nhánh Công ty Cổ phần nhựa Phú Lâm | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất sản phẩm từ nhựa | 3.336 |
| 1782 | Công ty TNHH Quốc tế Kim Bảo Sơn (Việt Nam) | KCN Giang Điền, huyện Trảng Bom, tỉnh Đồng Nai | Sản xuất các sản phẩm từ cao su và nhựa các loại | 3.901 |
| 1783 | Công ty cao su Kenda (Việt Nam) | KCN Hố Nai, huyện Trảng Bom, tỉnh Đồng Nai | Sản xuất các sản phẩm từ cao su và nhựa các loại | 4.982 |
| 1784 | Công ty Cổ phần Solution Pet | Đường 5, KCN Biên Hòa 1, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất các sản phẩm phôi, chai, hũ nhựa pet từ hạt nhựa | 3.503 |
| 1785 | Công ty Cổ phần Trung Đông | Cụm công nghiệp Tam Phước 1, xã Tam Phước, Biên Hòa, tỉnh Đồng Nai | Sản xuất sản phẩm từ nhựa | 5.911 |
| 1786 | Công ty Cổ phần găng tay Nam Việt | Ấp 7, xã Bình Phước, huyện Long Thành, tỉnh Đồng Nai | Sản xuất găng tay y tế | 3.770 |
| 1787 | Công ty TNHH Thiên Long Long Thành | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất thiết bị văn phòng phẩm | 1.067 |
| 1788 | Công ty TNHH Perfect Vision | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Chế tạo máy móc, thiết bị | 2.704 |
| 1789 | Công ty TNHH Công nghiệp Bao C.P (Việt Nam) | Lô 8, đường 19A, KCN Biên Hòa II, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất kinh doanh bao bì | 1.068 |
| 1790 | Công ty TNHH Shiseido Việt Nam | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất mỹ phẩm, xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh | 18.310 |
| 1791 | Công ty TNHH Dịch Vụ Sản Xuất Thiết Bị Aureole | Số 6A, đường 17A, KCN Biên Hòa II, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất phụ tùng và bộ phận phụ trợ cho động cơ | 1.036 |
| 1792 | Công ty TNHH Daewon Chemical Vina | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất chế biến da | 3.315 |
| 1793 | Công ty TNHH Region Industries | Cụm công nghiệp Bình Sơn, xã Bình Sơn, huyện Long Thành, tỉnh Đồng Nai | Gia công cơ khí | 2.989 |
| 1794 | Công ty TNHH Daeyeong Vina | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất sản phẩm khác bằng kim loại | 1.994 |
| 1795 | Công ty TNHH Tiger Việt Nam | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất đồ gia dụng | 1.184 |
| 1796 | Công ty Cổ phần Ngô Han | Ấp Hiền Đức, xã Phước Thái, huyện Long Thành, tỉnh Đồng Nai | Sản xuất thiết bị điện | 1.963 |
| 1797 | Công ty Cổ phần dây và cáp Sacom | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất thiết bị điện | 5.176 |
| 1798 | Công ty TNHH Plus One Sports | Đường số 5, KCN Sông Mây, xã Bắc Sơn, huyện Trảng Bom, tỉnh Đồng Nai | Sản xuất dụng cụ thể dục, thể thao | 1.328 |
| 1799 | Công ty TNHH Toshiba Industrial Products Asia | Lô 309, đường số 9, KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất mô tơ, máy phát | 1.768 |
| 1800 | Công ty TNHH công nghiệp Plus Việt Nam | Số 3, đường 1a, KCN Biên Hòa 2, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Chế tạo máy móc thiết bị | 3.393 |
| 1801 | Công ty TNHH Mainetti (Việt Nam) | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Chế tạo máy móc, thiết bị | 3.501 |
| 1802 | Công ty TNHH MTV Cadivi Đồng Nai | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất dây cáp Điện | 8.105 |
| 1803 | Tổng Công ty công nghiệp thực phẩm Đồng Nai | Số 833 xa lộ Hà Nội, Kp1, phường Long Bình Tân, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất thuốc lá, thuốc lào | 1.823 |
| 1804 | Công ty Cổ phần công nghiệp chính xác Việt Nam | KCN Hố Nai, huyện Trảng Bom, tỉnh Đồng Nai | Sản xuất xe có động cơ, rơ móc | 2.998 |
| 1805 | Chi nhánh mới Công ty TNHH Suheung Việt Nam | Đường số 12, KCN Long Thành, xa Tam An, huyện Long Thành, tỉnh Đồng Nai | Công nghiệp chế biến, chế tạo khác | 2.328 |
| 1806 | Công ty TNHH Cự Thành | Số 108, quốc lộ 51, xã An Phước, huyện Long Thành, tỉnh Đồng Nai | Sản xuất giày dép | 8.594 |
| 1807 | Công ty TNHH Boramtek Việt Nam | Số 4, đường 17a, KCN Biên Hòa 2, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất các sản phẩm từ kim loại | 1.163 |
| 1808 | Công ty TNHH Stolz-Miras | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất các cấu kiện kim loại | 2.104 |
| 1809 | Công ty TNHH Quốc tế Kim Bảo Sơn (Việt Nam) | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất găng tay y tế | 7.571 |
| 1810 | Công ty TNHH Chang Dae Vina | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Công nghiệp chế biến, chế tạo khác | 1.959 |
| 1811 | Công ty Cổ phần chăn nuôi C.P Việt Nam | KCN Biên Hòa 2, phường Long Bình Tân, thành phố Biên Hòa, tỉnh Đồng Nai | Chế biến thực phẩm | 2.604 |
| 1812 | Công ty TNHH Cáp Taihan Vina | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất dây, cáp điện | 4.774 |
| 1813 | Chi nhánh Công ty Cổ phần Pin ắc quy Miền Nam - xí nghiệp ắc quy Miền Nam | Đường số 1, KCN Biên Hòa 1, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất bình ắc quy các loại | 2.577 |
| 1814 | Công ty TNHH Mitsuba M-Tech Việt Nam | KCN Long Bình (Loteco), thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất phụ kiện xe máy | 1.965 |
| 1815 | Chi nhánh Nhơn Trạch - Công ty Cổ phần thép Nhà Bè - VNStell | KCN Nhơn Trạch 2, Nhơn Phú, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất các sản phẩm kim loại sắt thép | 2.568 |
| 1816 | Công ty Cổ phần dây và cáp Điện Taya Việt Nam | Số 1, đường 1a, KCN Biên Hòa 2, tỉnh Đồng Nai | Sản xuất các sản phẩm từ kim loại | 2.317 |
| 1817 | Công ty Cổ phần Pin ắc quy Miền Nam - Xí nghiệp ắc quy Đồng Nai 2 | Đường số N2, KCN Dệt May, thị trấn Nhơn Trạch, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất thiết bị dụng cụ điện, dây điện, pin, ắc quy | 3.540 |
| 1818 | Công ty TNHH bao bì nước giải khát Crown Đồng Nai | KCN Tam Phước, phường Tam Phước, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất bao bì kim loại | 11.508 |
| 1819 | Công ty Cổ phần sản xuất và đầu tư Hoàng Gia | Đường số 8, KCN Nhơn Trạch 2, xã Nhơn Phú, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất các sản phẩm từ chất khoáng phi kim loại: thủy tinh, gốm... | 16.317 |
| 1820 | Công ty TNHH Seo Rim | Lô 14d, đường số 5, KCN Long Bình (Loteco), thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất đồ dùng bằng kim loại cho nhà bếp, nhà vệ sinh và nhà ăn | 2.143 |
| 1821 | Công ty TNHH Việt Nam Meiwa | Đường 15a, KCN Biên Hòa 2, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất các sản phẩm phi kim loại | 3.349 |
| 1822 | Công ty CP đầu tư sản xuất thương mại Kim Phong | Ấp Bến Cam, xã Phước Thiền, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất các sản phẩm từ chất khoáng phi kim loại: thủy tinh, gồm... | 14.481 |
| 1823 | Công ty tôn Phương Nam | KCN Nhơn Trạch 2, xã Nhơn Phú, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất các sản phẩm kim loại sắt thép | 1.080 |
| 1824 | Công ty TNHH New Việt Nam | Đường số 7, KCN Long Bình (Amata) thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ và động cơ xe | 3.754 |
| 1825 | Công ty TNHH Suheung Việt Nam | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất sản phẩm y tế | 4.383 |
| 1826 | Công ty TNHH On Semiconductor Việt Nam | Số 10, đường 17a, KCN Biên Hòa 2, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất các sản phẩm từ kim loại | 4.955 |
| 1827 | Công ty Cổ phần công nghiệp Ý Mỹ | Đường số 8, KCN Nhơn Trạch 2, xã Nhơn Phú, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất các sản phẩm từ chất khoáng phi kim loại: thủy tinh, gốm... | 4.694 |
| 1828 | Công ty TNHH Việt Nam NOK | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất phụ tùng và bộ phận phụ trợ cho xe có động cơ và động cơ xe | 4.613 |
| 1829 | Công ty TNHH Olympus Việt Nam | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Chế tạo máy ảnh | 13.536 |
| 1830 | Công ty TNHH Dong-II Việt Nam | Lô F, KCN Lộc An, Bình Sơn, huyện Long Thành, tỉnh Đồng Nai | Sản xuất sợi | 7.611 |
| 1831 | Công ty TNHH Ritek Việt Nam | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất băng đĩa | 5.614 |
| 1832 | Công ty TNHH Center Power Tech | Đường 5c, KCN Nhơn Trạch 2, xã Hiệp Phước, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất pin và ắc quy | 10.828 |
| 1833 | Công ty TNHH sản phẩm máy tính Fujitsu Việt Nam | Số 31, đường 3a, KCN Biên Hòa 2, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất radio, thiết bị truyền thông | 9.409 |
| 1834 | Công ty TNHH công nghệ năng lượng Hitachi | KCN Nhơn Trạch 1, xã Phước Thiền, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất pin và ắc quy | 10.929 |
| 1835 | Công ty Cổ phần chăn nuôi C.P Việt Nam - Chi nhánh sản xuất kinh doanh thức ăn chăn nuôi | KCN Bàu Xéo, huyện Trảng Bom, tỉnh Đồng Nai | Sản xuất thực phẩm | 14.032 |
| 1836 | Công ty TNHH Bosch Đồng Nai | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất phụ tùng xe ô tô | 15.009 |
| 1837 | Công ty TNHH Shin Heung Đồng Nai | Lô K, KCN Lộc An, xã Bình Sơn, huyện Long Thành, tỉnh Đồng Nai | Sản xuất linh kiện điện tử | 1.835 |
| 1838 | Công ty TNHH Fujikura Electronics Việt Nam | Lô D, 8, 2, KCN Long Bình (Loteco), thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất linh kiện điện tử | 1.117 |
| 1839 | Công ty TNHH điện máy Aqua Việt Nam | Số 8, đường 17a, KCN Biên Hòa 2, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất radio, thiết bị truyền thông | 1.062 |
| 1840 | Công ty Cổ phần đúc chính xác C.Q.S May's | KCN Hố Nai, huyện Trảng Bom, tỉnh Đồng Nai | Gia công cơ khí | 1.772 |
| 1841 | Công ty TNHH Mabuchi Motor Việt Nam | KCN Biên Hòa 2, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất radio, thiết bị truyền thông | 5.733 |
| 1842 | Công ty TNHH MTV Năng Lượng An Việt Phát | Số 9 tổ 31, Kp7, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Gia công cơ khí | 1.047 |
| 1843 | Công ty TNHH Scansia Pacific | KCN Vinatex Tân Tạo, xã Hiệp Phước, huyện Nhơn Trạch, tỉnh Đồng Nai | Gia công đồ gỗ | 1.433 |
| 1844 | Công ty TNHH Fullway | Đường 5, KCN Long Khánh, xã Bình Lộc, thành phố Long Khánh, tỉnh Đồng Nai | Sản xuất chế biến gỗ | 1.892 |
| 1845 | Công ty Cổ phần thương mại dịch vụ Năng lượng mới Đồng Nai | Cụm công nghiệp VLXD Tân An, ấp Bình Chánh, xã Tân An, huyện Vĩnh Cửu, tỉnh Đồng Nai | Sản xuất chế biến gỗ | 1.139 |
| 1846 | Công ty Cổ phần Kỹ nghệ ván PB Long Việt | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất chế biến gỗ | 3.832 |
| 1847 | Công ty TNHH sản xuất thương mại Long Hải Phát | Xã Hố Nai 3, huyện Trảng Bom, tỉnh Đồng Nai | Công nghiệp chế biến gỗ | 1.533 |
| 1848 | Công ty TNHH Home Voyage Việt Nam | KCN Tam Phước, phường Tam Phước, thành phố Biên Hòa, tỉnh Đồng Nai | Chế biến gỗ | 2.969 |
| 1849 | Công ty TNHH Great Veca Việt Nam | KCN Sông Mây, huyện Trảng Bom, tỉnh Đồng Nai | Công nghiệp chế biến gỗ | 1.871 |
| 1850 | Công ty TNHH Timber Industries | KCN Tam Phước, phường Tam Phước, thành phố Biên Hòa, tỉnh Đồng Nai | Chế biến gỗ | 5.740 |
| 1851 | Công ty TNHH gỗ Lee Fu | KCN Tam Phước, phường Tam Phước, thành phố Biên Hòa, tỉnh Đồng Nai | Chế biến gỗ | 5.708 |
| 1852 | Công ty Cổ phần Poh Huat Việt Nam (Chi nhánh Đồng Nai) | KCN Tam Phước, phường Tam Phước, thành phố Biên Hòa, tỉnh Đồng Nai | Chế biến gỗ | 5.798 |
| 1853 | Công ty Cổ phần Johnson Wood | KCN Tam Phước, phường Tam Phước, thành phố Biên Hòa, tỉnh Đồng Nai | Chế biến gỗ | 8.372 |
| 1854 | Công ty TNHH Sanlim Furnitune Việt Nam | KCN Bàu Xéo, huyện Trảng Bom, tỉnh Đồng Nai | Công nghiệp chế biến gỗ | 4.791 |
| 1855 | Công ty TNHH Shing Mark Vina | KCN Bàu Xéo, Trảng Bom, tỉnh Đồng Nai | Công nghiệp chế biến gỗ | 9.284 |
| 1856 | Công ty TNHH Herder Plan | Khu 2 Ấp Bình Thạnh, xã Bình Hòa, huyện Vĩnh Cửu, tỉnh Đồng Nai | Rèn, dập, luyện kim loại | 1.592 |
| 1857 | Chi nhánh Nhơn Trạch - Công ty cổ phần Thép Nhà Bè - VNSTEEL | KCN Nhơn Trạch II, ấp Nhơn Phú, xã Phú Hội, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất sắt, thép, gang | 2.568 |
| 1858 | Công ty TNHH Thép Seah Việt Nam | Số 7, Đường 3A, KCN Biên Hòa 2, phường Long Bình Tân, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất thép | 1.736 |
| 1859 | Công ty TNHH Homn Reen | KCN Tam Phước, phường Tam Phước, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất cấu kiện kim loại | 39.727 |
| 1860 | Công ty TNHH thép An Khánh - Chi nhánh Đồng Nai | Xã Sông Trầu, huyện Trảng Bom, tỉnh Đồng Nai | Sản xuất kim loại như: sắt, thép, kim loại màu, kim loại quý đúc sắt thép, đúc kim loại màu | 6.391 |
| 1861 | Công ty TNHH Posco VST | Đường 319b, KCN Nhơn Trạch I, xã Phước Thiền, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất sắt thép, gang | 22.042 |
| 1862 | Công ty Cổ phần thép Vicasa - Việt Nam Steel | Đường số 9, KCN Biên Hòa 1, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất các kim loại như sắt, thép, kim loại màu... | 36.068 |
| 1863 | Công ty Ajinomoto Việt Nam | KCN Long Thành, xã Tam An, huyện Long Thành, tỉnh Đồng Nai | Sản xuất bột ngọt, hạt nêm | 1.536 |
| 1864 | Chi nhánh Công ty TNHH Olam Việt Nam | Đường 16a, KCN Biên Hòa 2, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Chế biến thực phẩm | 1.275 |
| 1865 | Công ty TNHH dinh dưỡng Á Châu (Việt Nam) | KCN Sông Mây, huyện Trảng Bom, tỉnh Đồng Nai | Sản xuất thực phẩm | 2.286 |
| 1866 | Công ty TNHH Nestle Việt Nam | Số 7, đường 17A, KCN Biên Hòa 2, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sữa, kinh doanh và phân phối | 1.477 |
| 1867 | Công ty Ajinomoto Việt Nam | Đường 1, KCN Biên Hòa 1, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất bột ngọt | 17.317 |
| 1868 | Công ty TNHH Starprints Việt Nam | KCN Amata, phường Long Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Dịch vụ liên quan đến in | 1.124 |
| 1869 | Công ty TNHH MTV thiết bị điện Lioa Đồng Nai | Số 5, đường 17a, KCN Biên Hòa 2, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Bảo dưỡng, sửa chữa ôtô và xe có động cơ khác | 2.336 |
| 1870 | Công ty Cổ phần đầu tư và kinh doanh nước sạch Sài Gòn | Đường Bùi Hữu Nghĩa, xã Hóa An, thành phố Biên Hòa, tỉnh Đồng Nai | Bơm nước thô | 2.742 |
| 1871 | Tổng Công ty cấp nước Sài Gòn | Trạm bơm nước Hóa An, Điện Kế 1, xã Hóa An, thành phố Biên Hòa, tỉnh Đồng Nai | Bơm nước thô | 7.056 |
| 1872 | Công ty Cổ phần thép Vicasa - Việt Nam steel | Đường số 9, KCN Biên Hòa 1, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất mua bán các sản phẩm thép | 36.068 |
| 1873 | Công ty TNHH sản xuất toàn cầu Lixil Việt Nam | Đường D1, KCN Long Đức, huyện Long Thành, tỉnh Đồng Nai | Bán buôn kim loại và quặng kim loại | 9.124 |
| 1874 | Công ty Cổ phần gốm sứ Toàn Quốc | KCN Gò Dầu, xã Phước Thái, huyện Long Thành, tỉnh Đồng Nai | Sản xuất gạch men | 6.644 |
| 1875 | Công ty Cổ phần gạch men Phương Nam | Ấp 5, xã Thạnh Phú, huyện Vĩnh Cửu, tỉnh Đồng Nai | Sản xuất gạch men | 1.642 |
| 1876 | Công ty Cổ phần Gạch men Ý Mỹ | KCN Tam Phước, phường Tam Phước, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất các sản phẩm gạch, đồ gốm | 6.712 |
| 1877 | Công ty Cổ phần gạch men Thanh Thanh | Đường 1, KCN Biên Hòa 1, phường An Bình, thành phố Biên Hòa, tỉnh Đồng Nai | Sản xuất gạch men | 41.069 |
| 1878 | Công ty TNHH Bách Thành | Đường số 3, KCN Nhơn Trạch I, xã Phú Hội, huyện Nhơn Trạch, tỉnh Đồng Nai | Sản xuất kinh doanh phân phối gạch men | 7.074 |
| 1879 | Công ty Cổ phần gạch men V.T.C | KCN Gò Dầu, xã Phước Thái, huyện Long Thành, tỉnh Đồng Nai | Sản xuất các sản phẩm gạch, đồ gốm | 19.193 |
| 1880 | Công ty TNHH MTV Pak Việt Nam | Cụm công nghiệp xã Bình Phước, huyện Long Thành, tỉnh Đồng Nai | Sản xuất gạch men | 24.370 |
| 1881 | Công ty Cổ phần công nghiệp gốm sứ Taicera | KCN Gò Dầu, xã Phước Thái, huyện Long Thành, tỉnh Đồng Nai | Sản xuất gạch men | 32.611 |
| 6. Tỉnh Tây Ninh |
| 1882 | Công ty TNHH Golbal Hantex | KCN Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh | Sản xuất vải thành phẩm | 1.059 |
| 1883 | Công ty TNHH Dệt Jita Thành An Việt Nam | Lô A14, đường N3A, KCN Thành Thành Công, xã An Hòa, huyện Trảng Bàng, tỉnh Tây Ninh | Dệt nhuộm | 1.301 |
| 1884 | Công ty TNHH Pouli Việt Nam | KCN Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh | Sản xuất giày, dép | 1.175 |
| 1885 | Công ty TNHH Dệt may Rise Sun Hồng Kông Việt Nam | Lô A12, đường D3, KCN Thành Thành Công, xã An Hòa, huyện Trảng Bàng, tỉnh Tây Ninh | Dệt nhuộm | 3.457 |
| 1886 | Công ty TNHH Can sport Việt Nam | Ấp Thuận Hòa, xã Truông Mít, huyện Dương Minh Châu, tỉnh Tây Ninh | Sản xuất giày da | 3.725 |
| 1887 | Công ty TNHH Pou Hung Việt Nam | KCN Chà Là, xã Chà Là, huyện Dương Minh Châu, tỉnh Tây Ninh | Sản xuất giày da | 8.293 |
| 1888 | Công ty Cổ phần Dệt may ĐT-TM Thành Công | KCN Trảng Bàng, huyện Trảng Bàng, tỉnh Tây Ninh | Dệt may | 3.696 |
| 1889 | Công ty TNHH First Team Việt Nam | Lô A1, đường 787, KCN Thành Thành Công, xã An Hòa, huyện Trảng Bàng, xã An Hòa, huyện Trảng Bàng, tỉnh Tây Ninh | Nhuộm vải | 4.989 |
| 1890 | Công ty TNHH New Wide Việt Nam | KCN Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh | Sản xuất sợi | 2.901 |
| 1891 | Công ty TNHH Billion Industrial Việt Nam | Lô 43, 16, đường N14, KCN Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh | Sản xuất sợi nhân tạo | 31.190 |
| 1892 | Công ty Cổ phần Việt Nam Mộc Bài | Ấp Thuận Tây, xã Lợi Thuận, huyện Bến Cầu, tỉnh Tây Ninh | Sản xuất giày thể thao | 8.160 |
| 1893 | Công ty TNHH ILSHIN Việt Nam | KCN Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh | Sản xuất sợi | 11.724 |
| 1894 | Chi nhánh Công ty Cổ phần Sợi Thế Kỷ | Đường số 12, KCN Trảng Bàng, xã Anh Tịnh, huyện Trảng Bàng, tỉnh Tây Ninh | Sản xuất sợi | 8.131 |
| 1895 | Công ty TNHH Lu Thai Việt Nam | KCN Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh | Sản xuất vải dệt thoi | 31.190 |
| 1896 | Công ty TNHH Gani Lucky Việt Nam | KCN Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh | Hoàn thiện các sản phẩm dệt | 39.164 |
| 1897 | Công ty TNHH Brotex Việt Nam | KCN Phước Đông, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh | Sản xuất các loại sợi, các phụ phẩm từ sợi | 94.237 |
| 1898 | Công ty TNHH MTV Inteplast Việt Nam | Đường số 7 KCN Trảng Bàng, huyện Trảng Bàng, tỉnh Tây Ninh | Sản xuất sản phẩm từ nhựa | 1.049 |
