ma,loai,so_plugin,so_lan,plugins,ban_goc_tai,ngay_ban_hanh,hieu_luc,bi_sua_doi_boi,bi_thay_the_boi,du_thao_thay_the,ghi_chu
NĐ 181/2024,NĐ,7,119,hl-vlncn-sct-vn;kho-vlncn-sct-vn;qlks-sct-vn;sd-vlncn-sct-vn;vbhc-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn,,01/01/2025,NĐ 146/2025,,,"Chi tiết Luật 42/2024 (VLNCN, tiền chất); Mẫu 01, 02 huấn luyện"
NĐ 32/2024,NĐ,7,102,dacn-sct-vn;kccn-sct-vn;pccc-sct-vn;qlks-sct-vn;quy-hoach-ct-vn;vbhc-vn;xp-sct-vn,kccn-sct-vn,15/3/2024,01/5/2024,NĐ 303/2026 (15/9/2026),,,"Quản lý CCN; NĐ 303 hạ ngưỡng lấp đầy 50%, thẩm quyền thành lập → UBND xã, 4 loại CCN mới"
NĐ 34/2024,NĐ,2,9,hc-sct-vn;hnh-sct-vn,hc-sct-vn,,,,,,
NĐ 44/2024,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 53/2024,NĐ,1,1,qlks-sct-vn,,,,,,,
NĐ 71/2024,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 88/2024,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 91/2024,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 96/2024,NĐ,2,2,kccn-sct-vn;vbhc-vn,,,,,,,
NĐ 35/2023,NĐ,3,14,kho-vlncn-sct-vn;tkm-sct-vn;xd-sct-vn,xd-sct-vn,,,,,,
NĐ 40/2023,NĐ,1,8,qlks-sct-vn,,,,,,,
NĐ 56/2023,NĐ,1,2,xp-sct-vn,,,,,,,
NĐ 58/2023,NĐ,2,2,kccn-sct-vn;quy-hoach-ct-vn,,,,,,,
NĐ 78/2023,NĐ,1,2,kccn-sct-vn,,,,,,,
NĐ 80/2023,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 12/2022,NĐ,1,5,xp-sct-vn,,,,,,,
NĐ 16/2022,NĐ,1,13,xp-sct-vn,xp-sct-vn,,,,,Dự thảo NĐ thay thế,Xử phạt xây dựng — kiểm tra khi có nghị định mới
NĐ 17/2022,NĐ,7,89,hc-sct-vn;hl-vlncn-sct-vn;hnh-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,bvmt-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn;xp-sct-vn,31/01/2022,31/01/2022,,,,"Sửa NĐ 71/2019, 134/2013, 98/2020, 99/2020 — bản gốc xp-sct-vn/van-ban-goc/chung"
NĐ 35/2022,NĐ,3,9,kccn-sct-vn;pccc-sct-vn;quy-hoach-ct-vn,,,,,,,
NĐ 4/2022,NĐ,2,21,qlks-sct-vn;xp-sct-vn,,06/01/2022,06/01/2022,,,,"Sửa NĐ 91/2019, NĐ 36/2020 — bản gốc xp-sct-vn/van-ban-goc/khoang-san"
NĐ 45/2022,NĐ,2,39,bvmt-sct-vn;xp-sct-vn,xp-sct-vn,07/7/2022,25/8/2022,NĐ 290/2025 (tài nguyên nước),,Dự thảo NĐ thay thế,Xử phạt BVMT; Sở CT chỉ Đ45–46 (k4 Đ64); lập BB cần QĐ giao (Đ71 không liệt kê Sở CT)
NĐ 6/2022,NĐ,1,11,bvmt-sct-vn,bvmt-sct-vn,,,,,,
NĐ 8/2022,NĐ,3,24,bvmt-sct-vn;kccn-sct-vn;xp-sct-vn,,,,,,,
NĐ 82/2022,NĐ,2,4,hc-sct-vn;pccc-sct-vn,,,,,,,
NĐ 10/2021,NĐ,1,2,tkm-sct-vn,,,,,,,
