TT,Ten_don_vi,Ten_mo_xa,Dia_chi_huyen_cu,Loai_KS,So_GP,Ngay_cap,Ngay_het_han,Dien_tich_ha,Co_quan_cap,Ghi_chu,CS_m3,CS_tan,Hien_trang,Nop_TKM,TB_GDDH_mo,Ban_giao_moc,Tram_can,Camera,Ky_quy_PHMT,QD_thue_dat,GP_KT_nuoc,GPMT,GP_VLN
32,Công ty Cổ phần Khoáng sản Viglacera,"Mỏ Granit BPH Hồ Xanh, TT. Thác Bà (cấp lại)","KCN Phía Nam, Phường Văn Phú, Lào Cai",Granit bán phong hoá,409/GP-UBND,24/04/2012,24/04/2026,2.33,Tỉnh cấp,Hết hạn,,48000,Đang KT,a,a,a,a,a,a,a,,,a
33,Công ty Cổ phần Khoáng sản Yên Bái VPG,"Mỏ đá vôi trắng Đào Lâm, TT. Yên Thế (cấp lại)","Phường Yên Bái, tỉnh Lào Cai",Đá vôi trắng,1265/GP-UBND,11/08/2010,11/04/2032,5.13,Tỉnh cấp,,19500,,Đang KT,a,a,a,a,,a,a,,,a
34,Công ty Cổ phần Khoáng sản Yên Bái VPG,"Mỏ felspat thôn Hồng Quân, xã Hán Đà (cấp lại)","Phường Yên Bái, tỉnh Lào Cai",Felspat,696/GP-UBND,12/04/2016,12/08/2032,7,Tỉnh cấp,,,48000,Đang KT,a,a,a,a,,,a,,,
35,Công ty Cổ phần Khoáng sản Yên Phú Đông Đô - BQP,Xã Xà Hồ (nay là xã Hạnh Phúc),"Thôn Sáng Pao, Xã Hạnh Phúc, Tỉnh Lào Cai, Việt Nam",Chì - kẽm,175/GP-BTNMT,18/10/2021,18/05/2032,2.5,Bộ cấp,,,5000,Đang KT,a,a,a,a,,,,,,
36,Công ty Cổ phần Kim Thành,Xã Cao Phạ (nay là xã Tú Lệ),"Phường Tân An, Lào Cai",Chì - kẽm, 680/GP-UBND,07/04/2020,07/10/2028,3.526,Tỉnh cấp,,,7150,Đang KT,a,a,a,a,,,a,,,
37,Công ty Cổ phần LK&KK Việt Đức,"Đá hoa Bản Nghè II, xã Yên Thắng","Thôn Làng Thọc, Xã Yên Thắng, Huyện Lục Yên, Tỉnh Yên Bái, Việt Nam",Đá vôi trắng,342/GP-BTNMT,12/02/2010,12/02/2040,26.8,Bộ cấp,,148800,533696,Đang KT,a,a,a,,,a,a,,,a
38,Công ty Cổ phần Mông Sơn,"Mỏ đá hoa Làng Cạn, 
xã Mông Sơn","Xã Yên Bình, tỉnh Lào Cai",Đá vôi trắng,2010/GP-BTNMT,19/10/2009,19/10/2034,13.45,Bộ cấp,,,300000,Đang KT,a,a,a,,,a,a,,,a
40,Công ty Cổ phần phát triển công nghệ cao Thiên Trường,"Quặng vàng gốc Tú Lệ 1, xã Tú Lệ",Văn Chấn,Vàng,969/GP-UBND,30/06/2011,30/12/2015,2,Tỉnh cấp,Hết hạn,,13730,Chưa KT,,,,,,,,,,
41,Công ty Cổ phần Phát Triển Tây Bắc,"Lâm Thượng, xã Tân Lĩnh",Lục Yên,Quặng sắt,830/GP-UBND,26/05/2008,26/05/2010,1.8,Tỉnh cấp,Hết hạn,,7000,Dừng KT; Đề nghị ĐCM,,,,,,,,,,
42,Công ty Cổ phần SXVL và XD công trình 115,"Km44, xã Tân Hương",Yên Bình,Đá làm VLXDTT,165/GP-UBND,25/01/2008,25/01/2011,1.8,Tỉnh cấp,Hết hạn,10000,,Dừng KT; Đề nghị ĐCM,,,,,,,,,,
43,Công ty Cổ phần Tập đoàn Thái Dương,"Đá hoa Khau Tu Ka, xã An Phú",Lục Yên ,Đá vôi trắng,1528/GP-BTNMT,19/08/2010,19/08/2040,5.91,Bộ cấp,,25582,66378,Đang KT,a,a,a,,,a,a,,,
44,Công ty Cổ phần Tập đoàn Thái Dương,"Làng Lạnh, xã Liễu Đô",Lục Yên ,Đá vôi trắng,1529/GP-BTNMT,19/08/2010,19/08/2040,24.1,Bộ cấp,,135400,741204,Đang KT,a,a,a,,,a,a,,,
45,Công ty Cổ phần Tập đoàn Thái Dương,Xã Yên Phú (gia hạn),Văn Yên,Đất hiếm,134/GP-BTNMT,06/08/2021,13/07/2028,6.24,Bộ cấp,,,261670,"Dừng KT
(Cơ quan Cảnh sát điều tra Bộ Công an đang điều tra vụ án vi phạm quy định về thăm dò, khai thác tài nguyên và vi phạm quy định về kế toán gây hậu quả nghiêm trọng xảy ra tại Công ty Cổ phần Tập đoàn Thái Dương và các đơn vị liên quan theo Quyết định số 39/QĐ-CSKT-C3 ngày 17/10/2023)",,a,a,,a,,a,,,
46,Công ty Cổ phần Thành Công (đổi tên thành: Công ty TNHH Thành Công),Xã Tân Thịnh,Yên Bái ,Kaolin,1305/GP-UBND,30/08/2007,30/08/2009,1.2,Tỉnh cấp,Hết hạn,,3000,Dừng KT; Đang xin cấp lại,,,,,,,,,,
47,Công ty Cổ phần thiết bị điện và Khoáng sản Yên Bái,"Đá hoa Minh Tiến 1, xã Minh Tiến","Thôn Tồng Táng, Xã Mường Lai, Tỉnh Lào Cai, Việt Nam",Đá vôi trắng,333/GP-BTNMT,28/02/2011,28/02/2041,26.63,Bộ cấp,,184300,702270,Đang XDCB; Chưa KT,a,a,a,,,,a,,,
48,Công ty Cổ phần Thịnh Đạt,"Trống Pá Sang, xã Cao Phạ (nay là xã Tú Lệ)","Tổ 5, Phường Trung Tâm, Tỉnh Lào Cai, Việt Nam",Chì - kẽm,1339/GP-UBND,20/07/2017,20/01/2030,2.25,Tỉnh cấp,,,5000,Đang KT,a,a,a,a,,a,a,,,
